"price","year","age_years","listed_date","mileage","make_name","model_name","trim_name","body_type","transmission","fuel_type","wheel_system","engine_disp_l","cylinders_num","engine_type_std","fleet","frame_damaged","has_accidents","fleet_unknown","frame_damaged_unknown","has_accidents_unknown","disp_missing","etype_missing"
"64670.0","2020.0","0.0","2020-07-01","11.0","Land Rover","Discovery","V6 Landmark Edition","SUV / Crossover","A","Gasoline","AWD","3.0","6.0","V6","False","False","False","False","False","False","False","False"
"13623.0","2017.0","3.0","2020-08-11","30370.0","Honda","Civic","LX","Sedan","CVT","Gasoline","FWD","2.0","4.0","I4","False","False","True","False","False","False","False","False"
"32439.0","2017.0","3.0","2020-07-15","28863.0","Chevrolet","Silverado 1500","LT Double Cab 4WD","Pickup Truck","A","Gasoline","4WD","5.3","8.0","V8","False","False","False","False","False","False","False","False"
"29300.0","2018.0","2.0","2020-08-15","12634.0","Jeep","Grand Cherokee","Limited 4WD","SUV / Crossover","A","Gasoline","4WD","3.0","6.0","V6","False","False","False","False","False","False","False","False"
"29300.0","2018.0","2.0","2020-08-18","30928.0","Jeep","Grand Cherokee","Sterling Edition 4WD","SUV / Crossover","A","Gasoline","4WD","3.0","6.0","V6","False","False","False","False","False","False","False","False"
"37140.0","2018.0","1.0","2019-05-25","10.0","Mazda","MAZDA6","Signature Sedan FWD","Sedan","A","Gasoline","FWD","2.5","4.0","I4","False","False","False","False","False","False","False","False"
"12500.0","2017.0","3.0","2020-08-06","73000.0","Chevrolet","Equinox","LT FWD","SUV / Crossover","A","Gasoline","FWD","2.4","4.0","I4","False","False","False","False","False","False","False","False"
"37972.0","2017.0","3.0","2020-06-23","41487.0","Chevrolet","Tahoe","LT 4WD","SUV / Crossover","A","Flex Fuel Vehicle","4WD","5.3","8.0","V8 FLEX FUEL VEHICLE","False","False","True","False","False","False","False","False"
"38935.0","2019.0","0.0","2019-04-23","12.0","Dodge","Durango","GT RWD","SUV / Crossover","A","Gasoline","RWD","3.6","6.0","V6","False","False","False","False","False","False","False","False"
"66005.0","2020.0","0.0","2020-03-06","15.0","Land Rover","Discovery","V6 Landmark Edition","SUV / Crossover","A","Gasoline","AWD","3.0","6.0","V6","False","False","False","False","False","False","False","False"
"22300.0","2018.0","2.0","2020-06-25","45550.0","Dodge","Charger","SXT Plus RWD","Sedan","A","Gasoline","RWD","3.6","6.0","V6","True","False","False","False","False","False","False","False"
