make_name,body_type,n,MAE,RMSE,rMAPE
Acura,Sedan,3625,954.5344911063687,1494.53682750158,0.05538479542274067
Mercury,Sedan,347,915.9071343387769,1493.3307262506412,0.1684814927065235
Nissan,Convertible,68,1192.2118959448962,1492.617501432389,0.09861598371649315
Chrysler,Coupe,42,1208.3793890591062,1492.2695033908376,0.13504387632967174
Hyundai,SUV / Crossover,15392,1130.8851275527932,1487.885372489905,0.05377792700593656
Acura,SUV / Crossover,6120,924.6428913039286,1446.513029618172,0.03846219963268946
Nissan,Sedan,22183,1082.3572261052857,1445.5737142299192,0.07106143044432599
Chevrolet,,1,1444.162910713907,1444.162910713907,0.18396979754317286
Subaru,Sedan,6411,1009.1994664712524,1437.4123750466904,0.05537180004554637
Buick,Sedan,2712,990.1538439038645,1434.9434966544047,0.09147975466896925
Plymouth,Sedan,6,980.1787751658649,1431.2386990455193,0.3120314890899441
Chevrolet,Minivan,80,978.566706568054,1427.8904637033147,0.24321735543879464
Honda,Coupe,2042,846.7254963557477,1419.2037252216924,0.07497836116865919
Hyundai,Coupe,718,1051.5059847706204,1409.406967356713,0.08967102365618711
Ford,Wagon,616,894.7820730786599,1407.016346086346,0.0754391607777064
Isuzu,Pickup Truck,5,1251.961209306348,1394.7835502888795,0.21714467403488263
Oldsmobile,SUV / Crossover,5,1195.7025989039873,1393.4098944755733,0.27502240224387914
Buick,Convertible,69,994.0510379248913,1393.3984492607842,0.048834954213727445
Scion,Wagon,173,821.2380345685544,1385.4977038895788,0.11557132835202603
Hyundai,Sedan,17397,1034.9860326135317,1377.4776093167923,0.0679563169826672
Saturn,Minivan,7,1087.8696324405353,1371.573825237464,0.26678059476566296
Mazda,Coupe,17,1183.4278816568042,1368.7723778255242,0.16615067313054455
Mercury,Minivan,5,1143.1216240708352,1362.498354622753,0.4087260699741013
Saturn,Wagon,4,999.827883107806,1360.3768678506221,0.1903867665278231
Pontiac,Sedan,426,888.6744735476481,1345.068396079804,0.17264486754828748
Subaru,SUV / Crossover,15088,1054.353426152506,1344.2202566134506,0.04731066510025931
smart,Hatchback,145,1024.0386282532847,1329.8020986267006,0.11663773298783771
Subaru,Wagon,5112,968.7611659790241,1329.1626687697299,0.062338211941409365
Kia,Wagon,2658,961.3396339985094,1304.5995114794987,0.08382845052855646
Volvo,Convertible,52,1015.7132579460527,1294.602307062377,0.12121306815843692
Honda,Sedan,24990,907.3890574310929,1285.384697436892,0.05536198855811321
Ford,Hatchback,2183,910.2896266074443,1274.5208254903594,0.08942239174829275
Hyundai,Hatchback,1789,964.2799971685755,1264.9401515064928,0.06230194251138429
Mazda,SUV / Crossover,10289,962.6002026775215,1250.8612749441454,0.041512375748734336
Toyota,,140,924.06102001343,1227.958864183593,0.07501615258377828
FIAT,Hatchback,404,878.9823843330538,1216.028817570692,0.09452306978513601
Saturn,,1,1212.3066337497912,1212.3066337497912,0.16415797342583496
Volvo,Hatchback,29,940.2383165777752,1209.3993143847113,0.11159901852825951
Mitsubishi,Hatchback,793,956.17321398554,1205.6851452536462,0.07725163674711241
Subaru,Hatchback,2712,903.7918412894186,1190.1070362248884,0.05312806100350901
Nissan,Minivan,229,892.011770846253,1189.1711794653067,0.10851993381773718
Toyota,Van,1,1181.0887929350301,1181.0887929350301,0.09088794097229935
Mazda,Sedan,3321,870.3810176278765,1161.622788390678,0.06652526019137274
Saab,Sedan,110,848.5944122035089,1143.7969663101385,0.14350248924964173
Volkswagen,Minivan,101,872.3939827939574,1135.7135907846666,0.12710998463803394
Kia,Coupe,88,869.2069864195463,1119.4503016991794,0.1143341531805214
Honda,SUV / Crossover,29402,837.4429719673551,1110.9151007146518,0.04009595030407068
Mercury,SUV / Crossover,214,818.7010022732454,1104.408599116736,0.15230838724845433
Suzuki,SUV / Crossover,155,817.4802088344012,1097.4505370776553,0.14070735830832032
Kia,Hatchback,420,811.8685209002714,1069.4809503343558,0.0683454168523392
VPG,Van,2,1055.2324721194964,1068.8028546370517,0.0778351145820162
Acura,Wagon,14,823.6703151111336,1067.8063652342403,0.06388475031252475
Scion,Hatchback,180,785.4634028166236,1058.0431009599743,0.10926055579098601
Chrysler,Wagon,176,721.280351999671,1026.5118646825424,0.18795536795409304
Mitsubishi,Coupe,76,786.6787438310124,1014.9343319210974,0.1597521667212139
Suzuki,Sedan,56,797.370256264601,994.7227535167702,0.1620821418133084
Hyundai,Minivan,29,774.971048955791,989.2753319547217,0.15073720535352794
Mazda,Wagon,19,827.1910091369226,979.6129738470391,0.22106091259678268
Suzuki,Hatchback,7,842.637022053207,973.6792696687146,0.23126852889014665
Isuzu,SUV / Crossover,26,799.6124494288068,972.6197994363048,0.208479732350502
Mercury,Van,10,816.1861717952622,960.9620993615391,0.2549542967393162
Mazda,Minivan,204,711.4609311273468,947.508688748745,0.11524130053895167
Nissan,Wagon,52,680.1105399381593,935.8570329263072,0.1149258100316694
Pontiac,SUV / Crossover,66,719.1511059367978,930.8604820115017,0.17275918701058213
Saturn,SUV / Crossover,227,699.0197589795287,925.5659662585097,0.1446290888295706
Pontiac,Hatchback,174,700.4304465744975,924.4056531397524,0.14534923685065512
Honda,Hatchback,4419,585.1279412704648,914.658437926377,0.039384897748764
Oldsmobile,Sedan,39,707.9586609745727,914.4791649291743,0.21002166008520723
Oldsmobile,Coupe,8,768.2945980143353,885.9568701307121,0.1886193942169068
Saab,Wagon,27,670.085482428657,854.6577828934214,0.12993084011591838
Scion,Sedan,41,675.3060289101611,853.2764307106307,0.06299615428803465
Saturn,Coupe,20,613.5633578153416,842.3154066670111,0.17413620453213835
Honda,,66,576.8708870183324,778.4002413300165,0.08192542685149612
Saturn,Sedan,217,580.8117212954916,760.3864339541176,0.16152472865159131
Saturn,Hatchback,20,573.5594158102147,748.6804585661931,0.163940849880337
Suzuki,Wagon,3,626.6407856689352,675.0153121068345,0.2492235994872379
Oldsmobile,Van,5,435.7282984083837,637.7858682084815,0.1692960291987003
Honda,Wagon,1,597.9177698260423,597.9177698260423,0.19930592327534744
Pontiac,,7,455.3120749950046,529.3914512077997,0.10984206221958906
Mercury,Wagon,1,509.75171830572845,509.75171830572845,0.20390068732229139
Mercury,Convertible,1,464.6492963705814,464.6492963705814,0.08011194765010024
Mercury,Hatchback,3,320.46659587571185,459.84212648692557,0.0836532083692878
Mitsubishi,Wagon,1,353.5165964271773,353.5165964271773,0.08848976130842987
Pontiac,Van,1,253.59562859466496,253.59562859466496,0.06347825496737546
Plymouth,Minivan,1,165.98397950445633,165.98397950445633,0.041506371468981326
